QALD2_te-67	Who are the parents of the wife of Juan Carlos I? Juan Carlos I, wife, parents, spouse, family, genealogy, lineage, heritage, descendants, royal family, Spain, monarchy Juan Carlos I, wife, spouse, parents, family, genealogy, lineage, heritage, background, royal family, monarchy Juan Carlos I, wife, parents, family, lineage, genealogy, Spanish monarchy, consort, spouse, royal family Juan Carlos I, wife, parents, spouse, family, genealogy, lineage, Spanish Royal Family, monarchy, history Juan Carlos I, wife, parents, spouse, family, genealogy, lineage, marriage, royal family, Spanish monarchy, ancestors
QALD2_te-60	Give me a list of all lakes in Denmark. lakes, Denmark, list, bodies of water, freshwater, geography, locations, aquatic features, Danish lakes, water bodies lakes, Denmark, list, bodies of water, freshwater, European lakes, Scandinavian lakes, Danish lakes, water bodies, geographic features lakes, Denmark, list, freshwater bodies, reservoirs, inland waters, Scandinavian lakes, Nordic lakes, geographic data, natural features, bodies of water lakes, Denmark, list, freshwater, bodies of water, Nordic lakes, geographic locations, natural features, major lakes, minor lakes lakes, Denmark, list, freshwater bodies, Nordic lakes, Scandinavian lakes, water bodies, bodies of water, lakes in Europe, locations, geographical features
QALD2_te-63	Give me all Argentine films. Argentine cinema, Argentine movies, Argentine film industry, Argentina filmography, Argentine directors, Argentine actors, Latin American cinema, Buenos Aires films, Argentine film festivals, Argentine film genres Argentine, films, movies, cinema, Argentina, Argentine cinema, Latin American films, Argentine directors, Argentine actors, South American cinema Argentine, films, movies, Argentina, cinema, Argentine cinema, Argentine movies, Latin American cinema, South American films, Argentinian filmmakers Argentine films, Argentine cinema, Argentine movies, films from Argentina, Argentine filmmakers, Argentine production, Argentine film industry, Latin American cinema, South American movies, Argentine directors, classic Argentine films Argentine, films, movies, cinema, Argentina, Argentine cinema, Latin American, film database, best Argentine films, top Argentine movies, Argentine filmmakers, movie list, filmography
QALD2_te-64	Give me all launch pads operated by NASA. launch pads, NASA, operated, space agency, rocket pads, space launch sites, space centers, Kennedy Space Center, Johnson Space Center, Cape Canaveral, Wallops Flight Facility launch pads, NASA, space centers, shuttle launch sites, space exploration facilities, NASA launch complexes, Kennedy Space Center, Cape Canaveral, Johnson Space Center, space launch infrastructure launch pads, NASA, space agencies, space launch sites, NASA facilities, spaceports, launch site operators launch pads,NASA,space agency,space launch sites,spaceports,rocket launch facilities,Orbital Launch Pads,Kennedy Space Center,Wallops Flight Facility,Vandenberg Space Force Base,midland launch site launch pads, NASA, space launch sites, space centers, spaceports, Kennedy Space Center, Cape Canaveral, Johnson Space Center, Shuttle Launch Complex, exploration centers
QALD2_te-65	Which instruments did John Lennon play? John Lennon, instruments, musical instruments, guitar, piano, harmonica, vocals, Beatles, music, songwriting John Lennon, instruments, musical instruments, guitar, piano, keyboard, vocals, songwriting, Beatles, band, rock, music John Lennon, instruments, guitar, piano, keyboard, mellotron, harmonica, bass guitar, recording, musical roles John Lennon, instruments, musical instruments, guitar, piano, vocals, songwriting, Beatles, rock, music John Lennon, instruments, music, guitar, piano, vocals, songwriting, The Beatles, perform, musical career
QALD2_te-66	Which ships were called after Benjamin Franklin? Benjamin Franklin, ships, ships named after Franklin, historical ships, naval vessels, maritime history, U.S. ships, Franklin ships, ship names, famous ships Benjamin Franklin, ships, vessels, named, honored, maritime, history, naval, 18th century, American ships Benjamin Franklin, ships, named after, maritime, history, naval vessels, vessel names, American ships, historical ships, eponymous ships Benjamin Franklin, ships, USS, vessel, named after, maritime, ships named Franklin, naval ships, historical ships, American ships ships, Benjamin Franklin, names, vessels, historical ships, maritime, navy, named after, ships named Franklin, US ships, American ships, historic vessels
SemSearch_LS-1	Apollo astronauts who walked on the Moon Apollo, astronauts, Moon, lunar landing, Apollo missions, moonwalkers, Neil Armstrong, Buzz Aldrin, lunar surface, space exploration Apollo, astronauts, Moon landing, lunar surface, Apollo missions, Neil Armstrong, Buzz Aldrin, lunar explorers, Apollo program, spacewalk, first humans on Moon Apollo, astronauts, Moon, lunar landing, space exploration, lunar surface, Apollo missions, moonwalkers, NASA, lunar astronauts Apollo, astronauts, Moon, lunar landing, space exploration, NASA, Apollo missions, moonwalk, lunar surface, crewed spaceflight Apollo, astronauts, Moon landing, lunar exploration, Apollo missions, Neil Armstrong, Buzz Aldrin, lunar surface, spacewalk, lunar module, Apollo program, historic Moon landing, lunar explorers
SemSearch_ES-97	PINK PANTHER 2 Pink Panther, 2009, comedy, mystery, Steve Martin, Inspector Clouseau, cartoon character, animated, family, humor, crime, detective, slapstick, sequel Pink Panther, 2, comedy, mystery, animated, cartoon, franchise, Steve Martin, Detective Jacques Clouseau, classic, film sequel Pink Panther, 2, Steve Martin, animated, comedy, detective, film, sequel, Hollywood, classic, cartoon, character, crime, humor, mystery, action Pink Panther, 2009, comedy, mystery, crime, Steve Martin, film, sequel, detective, animation, animated, Peter Sellers, Inspector Clouseau, cartoon, humor, slapstick Pink Panther, film, comedy, mystery, 2009, Steve Martin, Jean Reno, animated character, detective, crime, humor, sequel, suspense, slapstick
SemSearch_LS-2	Arab states of the Persian Gulf Arab countries, Persian Gulf, Gulf Cooperation Council, Middle East, Arabian Peninsula, Gulf States, Gulf nations, Middle Eastern countries, Gulf region, Gulf Arab states Arab countries, Persian Gulf, Gulf Cooperation Council, Gulf nations, Middle East, Arabian Peninsula, Kuwait, Bahrain, Qatar, United Arab Emirates, Oman, Saudi Arabia, Gulf region, Arab Gulf countries, Gulf monarchies, Gulf states history, Persian Gulf geopolitics Arab, states, Persian Gulf, Gulf Cooperation Council, Gulf Arab countries, Middle East, Arabian Peninsula, Kuwait, Bahrain, Qatar, United Arab Emirates, Oman, Saudi Arabia, Gulf nations, Gulf region, Arabian Gulf, Gulf economies, Persian Gulf countries Arab countries, Middle East, Gulf Cooperation Council, GCC, Persian Gulf region, Arab nations, Gulf Arab states, Arabian Peninsula, Gulf Cooperation, Gulf countries Arab, states, Persian Gulf, Gulf Cooperation Council, Middle East, Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates, Gulf countries, Arabian Peninsula
SemSearch_ES-96	New England Coffee coffee, New England, beverage, caffeine, breakfast, roasted, beans, popular, flavor, brand New England, coffee, beverage, cafe, roast, beans, morning, brewed, flavor, aromatic, breakfast, hot drink, coffee shop, caffeine coffee, New England, beverage, cafe, java, roast, beans, instant coffee, coffee shop, java brand New, England, coffee, beverage, cafe, tea, roast, java, brewing, caffeine, stay warm, morning, breakfast, aromatic, beans Coffee, New England, beverages, brewing, cafes, coffee brands, roasted coffee, coffee beans, coffee shop, specialty coffee, coffee production, coffee retail
