schema_version,run_id,dataset_id,method_id,model,retriever_id,retriever,params_hash,method_params_json,llm_temperature,llm_max_tokens,metric,value,num_queries,total_time_seconds,querygym_version,run_file_path
1,f5fd7777f20b623f,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,c19ee8db,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6229,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/c19ee8db.json
1,f5fd7777f20b623f,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-72B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,c19ee8db,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9886,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-72B-Instruct/bge-base-en-v1.5/c19ee8db.json
1,6e44c9a23591ec9a,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-72B-Instruct,bm25,BM25,8e23a9c6,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3864,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-72B-Instruct/bm25/8e23a9c6.json
1,43c9e25451d58e11,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,c19ee8db,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.5118,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-72B-Instruct/splade-pp/c19ee8db.json
1,43c9e25451d58e11,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-72B-Instruct,splade-pp,SPLADE++,c19ee8db,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9787,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-72B-Instruct/splade-pp/c19ee8db.json
1,db84561b5bb02956,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,2b122d18,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6231,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/2b122d18.json
1,db84561b5bb02956,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,bge-base-en-v1.5,BGE-base-en-v1.5,2b122d18,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9893,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/bge-base-en-v1.5/2b122d18.json
1,a4b96e532713cf8c,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,0c8c184e,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.4008,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/bm25/0c8c184e.json
1,a4b96e532713cf8c,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,bm25,BM25,0c8c184e,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9403,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/bm25/0c8c184e.json
1,e30beb7d6120032b,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,2b122d18,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.51,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/splade-pp/2b122d18.json
1,e30beb7d6120032b,beir-v1.0.0-arguana,csqe,Qwen/Qwen2.5-7B-Instruct,splade-pp,SPLADE++,2b122d18,"{""judge_rel_mode"":""positive"",""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9801,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/Qwen/Qwen2.5-7B-Instruct/splade-pp/2b122d18.json
1,de46025c0b347808,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.6218,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/bge-base-en-v1.5/21403c13.json
1,de46025c0b347808,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,bge-base-en-v1.5,BGE-base-en-v1.5,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,recall_100,0.9915,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/bge-base-en-v1.5/21403c13.json
1,2f7746328604d0bc,beir-v1.0.0-arguana,csqe,openai/gpt-4.1,bm25,BM25,21403c13,"{""num_examples"":4,""train_split"":""train""}",1.0,128,ndcg_cut_10,0.3977,1406,0.0,legacy-backfill,reproducibility/data/runs/beir-v1.0.0-arguana/csqe/openai/gpt-4.1/bm25/21403c13.json
