907	PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes. PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes. PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes. PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes. PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes. PGE2 intestinal tumor growth altered expression tumor-suppressing DNA repair gene regulation biomarker molecular cancer pathogenesis PGE2 intestinal tumors PGE2 gene expression PGE2 tumor suppression PGE2 DNA repair prostaglandin E2 intestinal cancer tumor promoting factors gene regulation tumors inflammation tumor growth PGE2 prostaglandin E2 intestinal neoplasms gene expression tumor suppressor genes DNA repair inflammation cancer progression gastrointestinal tumors epigenetics signaling pathways PGE2 intestinal tumors PGE2 gene expression PGE2 tumor suppression PGE2 DNA repair PGE2 oncogenesis PGE2 gastrointestinal cancers PGE2 cancer progression PGE2 intestinal inflammation PGE2 molecular mechanisms PGE2 tumor microenvironment PGE2 intestinal tumor growth tumor suppressor DNA repair genes expression PGE2 intestinal tumors gene expression alteration PGE2 role in cancer tumor suppressor genes regulation DNA repair gene modulation PGE2 and oncogenesis gastrointestinal cancer promotion prostaglandin E2 effects PGE2 intestinal tumors gene expression tumor suppressors DNA repair genes inflammation oncogenesis gastrointestinal cancer prostaglandin E2 cancer progression PGE2 intestinal tumor growth tumor suppressing genes DNA repair PGE2 intestinal tumor growth tumor suppressing genes DNA repair expression molecular mechanisms cancer biology intestinal epithelial cells prostaglandin E2 genetic regulation PGE2 intestinal cancer DNA repair genes tumor suppressor genes gut inflammation stem cell proliferation eicosanoids cancer progression intestinal epithelial cells prostaglandin E2 genetic expression profiling
350	Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3. translation initiation factor IF3 tRNA discrimination translation initiation elongation tRNAs initiation tRNAs molecular biology protein synthesis genetic code biochemical processes RNA functions translation initiation factor IF3 function tRNA discrimination elongation tRNA initiator tRNA protein synthesis molecular biology genetic code translation process biochemical reaction translation initiation factor IF3 function tRNA types initiation tRNA elongation tRNA molecular biology protein synthesis genetic code ribosome binding aminoacyl-tRNA mRNA binding discrimination mechanism translation initiation factor IF3 function tRNA roles in translation initiation vs elongation tRNAs tRNA selection during translation role of IF3 in translation initiation tRNA specificity elongation tRNA recognition translation factors involvement tRNA discrimination process discrimination initiation factor elongation tRNA translation IF3 molecular biology biochemistry protein synthesis cellular processes translation initiation factor IF3 tRNA discrimination initiation tRNA elongation tRNA molecular recognition translation process genetic code ribosomal function aminoacyl-tRNA start codon recognition mRNA binding protein synthesis regulation translation initiation factor IF3 discriminator role tRNA types initiation tRNA elongation tRNA molecular biology protein synthesis translation process biochemical factors discrimination initiator tRNA elongation tRNA translation initiation factor IF3 molecular biology protein synthesis cellular processes biochemistry discrimination initiator elongation tRNAs translation initiation factor IF3 molecular biology protein synthesis genetic code ribosome binding mRNA recognition biochemical assay sequence specificity translation initiation factor IF3 tRNA discrimination initiation tRNA elongation tRNA molecular biology genetic translation biochemistry cellular processes protein synthesis molecular mechanisms
230	Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries. Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries. Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries. Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries. Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries. alcohol aldehyde dehydrogenase deficiency carriers non-carriers drinking habits genetic mutation alcohol metabolism liver enzymes epidemiology genetics biochemistry alcohol aldehyde dehydrogenase deficiency carriers non-carriers drinking genetics metabolism alcoholism genetic predisposition mutation Lee ADH1B genetics drinking behavior ASD1 ALDH2 ethnicity EastAsian riskfactor metabolism study prevalence alcohol dehydrogenase deficiency genetic mutation liver function alcohol metabolism health impact gene carriers drinking habits genetic testing medical genetics epidemiology研究 酒精代谢障碍 遗传因素影响 健康行为学 alcohol aldehyde dehydrogenase deficiency carriers non-carriers drinking genetics ethanol代谢 acetaldehyde累积 饮酒量 基因突变 alcohol dehydrogenase deficiency carriers mutation reduced alcohol consumption genetic mutation impact liver metabolism ethanol tolerance Asian flushing reaction ALDH2 deficiency alcohol dehydrogenase deficiency carriers non-carriers genetic mutation drinking habits enzyme function allele frequency risk factors metabolic rate alcohol tolerance alcohol aldehyde dehydrogenase deficiency carriers non-carriers drinking habits genetic mutation epidemiology metabolic disorder liver function ethanol metabolism alcohol aldehyde dehydrogenase deficiency carriers non-carriers drinking genetics ethanol代谢 acetaldehyde累积 酒精耐受性 基因突变 alcoholism risk genetic mutation ALDH2 deficiency drinking behavior population studies epidemiology metabolite accumulation health outcomes genetic counseling screening methods public health
593	Incidence of heart failure decreased by 10% in women since 1979. Incidence of heart failure decreased by 10% in women since 1979. Incidence of heart failure decreased by 10% in women since 1979. Incidence of heart failure decreased by 10% in women since 1979. Incidence of heart failure decreased by 10% in women since 1979. heart failure incidence women 1979 trends medical research statistics health improvement female cardiovascular disease reduction analysis heart failure incidence women 1979 statistics trends cardiovascular disease public health epidemiology heart_failure_prevalence women_health_outcomes cardiovascular_disease_trends public_health_improvements aging_population medical_treatment_advancements diabetes_prevalence hypertension_control obesity_rates smoking_rates heart failure rates gender differences cardiovascular health trends female heart health incidence reduction cardiac disease statistics women's health improvement cardiac mortality decrease healthcare outcomes analysis heart failure incidence women 1979 health statistics cardiovascular disease epidemiology heart failure incidence women 1979 trends gender differences in heart failure rates cardiovascular health improvements women heart failure reduction female population cardiac health trends females heart failure women incidence statistics medical research health trends cardiovascular disease epidemiology demographic changes heart failure incidence women 1979 decrease female heart failure incidence trend heart failure reduction women heart failure rates women 1979 present cardiac disease女性 发病率 减少 cardiovascular health female improvement heartfailure incidence gender trends cardiovasculardisease statisticalanalysis medicalresearch epidemiology publichealth gendergap healthinequality heart failure incidence gender differences cardiovascular health trends women's health medical research public health data epidemiology risk factors statistical analysis population health
1216	The extracellular domain of TMEM27 is cleaved in human beta cells. The extracellular domain of TMEM27 is cleaved in human beta cells. The extracellular domain of TMEM27 is cleaved in human beta cells. The extracellular domain of TMEM27 is cleaved in human beta cells. The extracellular domain of TMEM27 is cleaved in human beta cells. extracellular domain TMEM27 cleavage human beta cells insulin processing protease diabetes molecular biology pancreatic extracellular region TMEM27 beta cells cleavage process human pancreas molecular biology protein processing endocytosis signal peptides diabetes research cellular localization extracellular region TMEM27 protein beta cell processing cleavage sites human pancreas protein domains signal peptide glycosylation membrane protein exports extracellular region TMEM27 protein beta cell processing cleavage sites glucose metabolism insulin secretion membrane protein function proteolytic cleavage signaling pathways molecular biology techniques diabetes research cellular localization glycoproteins endogenous cleavage posttranslational modifications extracellular domain TMEM27 human beta cells cleavage glycoproteins endoprotease processing beta cell function cell signaling extracellular region TMEM27 protein beta cell function cleavage process signaling pathway glucose metabolism diabetes research membrane protein processing extracellular region TMEM27 protein human beta cells cleavage process glycoproteins signal peptides enzymes protein processing B-cell differentiation extracellular region TMEM27 beta cells cleavage human pancreas molecular biology endopeptidase signal peptide proteolytic processing extracellular TMEM27 human beta cells cleavage protein domain insulin secretion diabetes research molecular biology signal peptide proteolysis glucose metabolism extracellular proteolysis TMEM27 cleavage beta cell signaling glucose response mechanisms membrane protein processing insulin secretion pathways
1337	Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164. Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164. Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164. Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164. Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164. Ubiquitin ligase UBC13 K63 polyubiquitin PCNA K164 protein modification pathway mechanism biology DNA repair ubiquitination Ubiquitination PCNA K164 protein stability DNA damage response E3 ligase polyubiquitination signal transduction molecular biology oncology cell cycle regulation Ubiquitination polyubiquitin chain K63 linkage PCNA DNA repair proteasome ubiquitin conjugation E3 ligase protein modification cell cycle regulation Ubiquitination PCNA modification K63 linkage protein degradation DNA repair E3 ligase polyubiquitin chain cell cycle regulation Ubiquitin ligase UBC13 K63 polyubiquitin PCNA K164 protein modification DNA damage response cell cycle regulation polyubiquitin K63-linked PCNA K164 ubiquitin ligase UBC13 recommendation search performance query expansion ubiquitin ligase UBC13 K63-linked polyubiquitin PCNA K164 protein complex ubiquitination DNA damage response cell cycle regulation Ubiquitination PCNA modification K63 linkage polyubiquitin chain E3 ligase protein conjugation DNA damage response Ubiquitin UBC13 K63 polyubiquitin PCNA K164 protein degradation DNA repair E3 ligase Ubiquitination PCNA modification protein degradation K63 ubiquitin chain Ubc13-Ube2v1 complex polyubiquitin assembly K164 site cell cycle regulation
232	Cataract and trachoma are the primary cause of blindness in Southern Sudan. Cataract and trachoma are the primary cause of blindness in Southern Sudan. Cataract and trachoma are the primary cause of blindness in Southern Sudan. Cataract and trachoma are the primary cause of blindness in Southern Sudan. Cataract and trachoma are the primary cause of blindness in Southern Sudan. Cataract trachoma blindness Southern Sudan eye disease public health tropical diseases vision impairment medical conditions ophthalmology infectious diseases Cataract treatment trachoma epidemiology Southern Sudan health prevalence vision blindness population medical causes eye disease risk factors control prevention cataract treatment trachoma prevention blindness causes Southern Sudan health eye disease vision impairment tropical diseases ophthalmology Africa Cataract treatment trachoma prevention blindness causes Southern Sudan health eye disease prevalence Cataract trachoma blindness Southern Sudan eye disease public health tropical diseases ophthalmology vision impairment eye diseases Southern Sudan blinding diseases ophthalmology public health Vision loss Cataract trachoma blindness Southern Sudan eye disease public health vision impairment tropical diseases healthcare access infectious diseases Cataract trachoma blindness Southern Sudan eye disease public health vision impairment tropical diseases healthcare access Cataract treatment trachoma prevalence Southern Sudan eye disease blindness health causes vision impairment malnutrition diagnosis preventive measures public healthcare awareness Cataract treatment trachoma prevention blindness causes Southern Sudan health eye diseases tropical ophthalmology public eye health visual impairment ocular infections global blindness
1336	UCB T cells reduce TCR diversity after transplantation. UCB T cells reduce TCR diversity after transplantation. UCB T cells reduce TCR diversity after transplantation. UCB T cells reduce TCR diversity after transplantation. UCB T cells reduce TCR diversity after transplantation. UC Berkeley T cells TCR transplantation immune system diversity stem cells bone marrow autoimmune response UCB stem cells transplantation TCR immune system diversity T cells hematopoietic immunology oncology bone marrow lymphocytes immunotherapy clinical trial UCB cells T cell receptor transplantation outcomes immune system stem cell transplant T cell diversity hematopoietic stem cells immunology research clinical trials transplantation immunology UCB stem cells T cell receptor transplantation outcomes immune system response hematopoietic stem cells TCR repertoire cellular immunology post-transplantation immunity T cell function immune reconstitution TCR gene diversity UCB T cells TCR transplantation immune system stem cells diversity immune response bone marrow hematopoiesis UCB cells T cell receptor transplantation impact immune system stem cells T cell diversity bone marrow transplantation immunology research T cell function immune response modification UCB cells T cell receptors transplantation dendritic cells immunology hematopoietic stem cells immune system TCR repertoires alloreactivity tolerance induction UCB cells T cell receptor transplantation outcomes immune system response stem cell transplant T cell diversity immunology research hematopoietic stem cells immune reconstitution UCB cells T cells TCR diversity transplantation immunology hematopoietic stem cells immune system bone marrow transplantation T cell receptor immune response stem cell transplantation UCB cells T cell receptor transplantation outcomes immune system stem cell transplant T cell function post-transplant immunity TCR repertoire hematopoietic stem cells immunotherapy alloreactivity T cell depletion immune reconstitution
233	Cell autonomous sex determination in somatic cells does not occur in Galliformes. Cell autonomous sex determination in somatic cells does not occur in Galliformes. Cell autonomous sex determination in somatic cells does not occur in Galliformes. Cell autonomous sex determination in somatic cells does not occur in Galliformes. Cell autonomous sex determination in somatic cells does not occur in Galliformes. cell autonomy sex determination somatic cells Galliformes avian biology genetics sex chromosomes developmental biology cell autonomous sex determination Galliformes somatic cells sex determination Galliform birds genetics reproduction avian biology sex chromosomes sexual development sex determination mechanisms somatic cells Galliformes avian sex determination cell autonomy genetic sex determination somatic sex determination cell non-autonomous sex determination Galliformes sex chromosome Galliformes somatic cells sex determination mechanisms somatic cell sex determination avian sex determination genetic sex determination somatic sex differentiation Galliformes genetics sex chromosomes function Cell autonomous sex determination Galliformes somatic cells sex chromosomes genetic mechanisms avian sex determination cell autonomous sex determination somatic cells Galliformes relevant expansion phrases query refinement search optimization biological sex determination avian biology genetic mechanisms sex determination somatic cells Galliformes birds genetic mechanisms developmental biology sex chromosomes gene expression epigenetics cell autonomous sex determination Galliformes somatic cells sex determination机制 avian biology cell autonomous sex determination somatic cells Galliformes birds sex chromosomes genetic mechanisms Wnt signaling female development germ cells heterogametic sex autocrine signaling Sex Determination Genes Gallus gallus DNA methylation sex determination systems Gallus gallus DNA methylation somatic cell reprogramming gene expression analysis pituitary gland hormonal regulation RNA editing
354	Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis. Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis. Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis. Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis. Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis. Scribble protein cell transformation mammary tumorigenesis cell signaling tumor suppression protein localization oncogenesis genetic mutation cellular proliferation cancer biology Downregulation Scribble mislocalization cancer cell transformation mammary tumorigenesis molecular biology mouse models genetics protein localization tumor suppression downregulation Scribble protein cell transformation mammary tumorigenesis cell signaling tumor suppressor protein localization genetic mutation cancer biology oncology research cellular pathology cell transformation mammary tumorigenesis Scribble protein epithelial cells cancer prevention cell signaling oncogenes tumor suppressors genetic mutations cellular localization cell adhesion cancer biology oncogenic pathways Downregulation mislocalization Scribble cell transformation mammary tumorigenesis molecular biology cancer biology genetics tumor suppression Scribble protein function cell polarity tumor suppression oncogene activation Scribble gene regulation Scribble mutation impact Scribble localization importance cell transformation mechanisms mammary gland cancer Scribble protein expression Scribble signaling pathway cancer prevention mechanisms downregulation mislocalization Scribble cell transformation mammary tumorigenesis protein localization cancer biology tumor suppression cell signaling molecular biology genetics biological pathways cellular transformation proteins cell biology downregulation Scribble mislocalization cell transformation mammary tumorigenesis cancer prevention molecular biology tumor suppressor cell signaling pathways microscopy analysis genetic manipulation protein localization downregulation Scribble mislocalization cell transformation mammary tumorigenesis molecular biology cancer research genetics protein localization tumor suppression cell signaling pathways downregulation mislocalization Scribble cell transformation mammary tumorigenesis cancer biology molecular biology tumor suppressor proteins protein localization GTPases signal transduction pathways
